| age_category | gender | dependent_count | education     | marital  | income_category | card_category | years_on_book | total_relationship_count | months_inactive_12_mon | contacts_count_12_mon | credit_limit | total_revolving_bal | avg_open_to_buy | total_trans_amt | total_trans_ct | avg_utilization_ratio |
| ------------ | ------ | --------------- | ------------- | -------- | --------------- | ------------- | ------------- | ------------------------ | ---------------------- | --------------------- | ------------ | ------------------- | --------------- | --------------- | -------------- | --------------------- |
| 60s          | F      | 0               | Graduate      | Married  | Less than $40K  | Blue          | 4 - 5         | 2                        | 3                      | 3                     | 1438         | 0                   | 1438            | 692             | 16             | 0                     |
| 60s          | F      | 0               | Doctorate     | Married  | Unknown         | Blue          | 4 - 5         | 5                        | 4                      | 3                     | 7882         | 605                 | 7277            | 704             | 16             | 0,08                  |
| 50s          | F      | 1               | Graduate      | Married  | Less than $40K  | Blue          | 3 - 4         | 2                        | 3                      | 1                     | 1438         | 808                 | 630             | 705             | 19             | 0,56                  |
| 50s          | M      | 2               | Graduate      | Married  | $120K +         | Blue          | 2 - 3         | 1                        | 3                      | 3                     | 15769        | 0                   | 15769           | 602             | 15             | 0                     |
| 40s          | M      | 2               | Graduate      | Married  | $60K - $80K     | Silver        | 2 - 3         | 2                        | 4                      | 4                     | 34516        | 0                   | 34516           | 691             | 15             | 0                     |
| 50s          | F      | 4               | Unknown       | Married  | $40K - $60K     | Blue          | 3 - 4         | 2                        | 4                      | 3                     | 2158         | 0                   | 2158            | 615             | 12             | 0                     |
| 40s          | M      | 2               | Unknown       | Married  | $80K - $120K    | Blue          | 3 - 4         | 2                        | 3                      | 3                     | 5449         | 1628                | 3821            | 836             | 18             | 0,3                   |
| 50s          | M      | 2               | Graduate      | Married  | $80K - $120K    | Blue          | 3 - 4         | 3                        | 3                      | 2                     | 11669        | 2227                | 9442            | 720             | 23             | 0,19                  |
| 40s          | F      | 5               | High School   | Married  | Less than $40K  | Blue          | 3 - 4         | 1                        | 3                      | 3                     | 8025         | 0                   | 8025            | 673             | 18             | 0                     |
| 50s          | M      | 1               | College       | Single   | $60K - $80K     | Blue          | 4 - 5         | 2                        | 3                      | 3                     | 14979        | 0                   | 14979           | 530             | 10             | 0                     |
| 40s          | F      | 4               | Uneducated    | Married  | Less than $40K  | Blue          | 3 - 4         | 3                        | 2                      | 3                     | 2732         | 0                   | 2732            | 739             | 16             | 0                     |
| 40s          | M      | 5               | Graduate      | Single   | $80K - $120K    | Blue          | 2 - 3         | 6                        | 3                      | 3                     | 32975        | 2517                | 30458           | 597             | 17             | 0,08                  |
| 50s          | M      | 2               | Unknown       | Married  | $80K - $120K    | Blue          | 2 - 3         | 2                        | 2                      | 1                     | 3212         | 0                   | 3212            | 757             | 20             | 0                     |
| 60s          | M      | 0               | High School   | Married  | Less than $40K  | Blue          | 4 - 5         | 1                        | 3                      | 2                     | 1438         | 900                 | 538             | 760             | 21             | 0,63                  |
| 50s          | F      | 2               | Graduate      | Married  | Less than $40K  | Blue          | 3 - 4         | 2                        | 4                      | 3                     | 1438         | 0                   | 1438            | 886             | 27             | 0                     |
| 50s          | M      | 2               | Post-Graduate | Married  | $60K - $80K     | Blue          | 3 - 4         | 3                        | 3                      | 3                     | 1438         | 0                   | 1438            | 844             | 24             | 0                     |
| 60s          | F      | 1               | Uneducated    | Married  | $40K - $60K     | Blue          | 4 - 5         | 4                        | 4                      | 3                     | 1438         | 1025                | 413             | 702             | 12             | 0,71                  |
| 50s          | M      | 1               | Uneducated    | Married  | $80K - $120K    | Blue          | 2 - 3         | 2                        | 3                      | 3                     | 1857         | 1833                | 24              | 829             | 17             | 0,99                  |
| 50s          | F      | 2               | Unknown       | Married  | Less than $40K  | Blue          | 2 - 3         | 2                        | 3                      | 3                     | 2859         | 2517                | 342             | 817             | 30             | 0,88                  |
| 40s          | M      | 5               | College       | Married  | $40K - $60K     | Blue          | 3 - 4         | 2                        | 2                      | 3                     | 1438         | 0                   | 1438            | 815             | 21             | 0                     |
| 40s          | F      | 2               | College       | Married  | Less than $40K  | Blue          | 2 - 3         | 1                        | 3                      | 2                     | 3387         | 0                   | 3387            | 510             | 24             | 0                     |
| 40s          | M      | 4               | High School   | Married  | $120K +         | Blue          | 2 - 3         | 3                        | 3                      | 3                     | 2442         | 0                   | 2442            | 701             | 19             | 0                     |
| 50s          | M      | 0               | High School   | Single   | $40K - $60K     | Blue          | 3 - 4         | 2                        | 4                      | 3                     | 3616         | 1054                | 2562            | 687             | 17             | 0,29                  |
| 50s          | F      | 0               | Post-Graduate | Married  | $40K - $60K     | Blue          | 3 - 4         | 1                        | 4                      | 1                     | 1438         | 0                   | 1438            | 689             | 23             | 0                     |
| 60s          | F      | 0               | High School   | Married  | $40K - $60K     | Blue          | 4 - 5         | 1                        | 3                      | 3                     | 3353         | 0                   | 3353            | 960             | 18             | 0                     |
| 40s          | M      | 2               | Graduate      | Single   | $60K - $80K     | Blue          | 2 - 3         | 1                        | 1                      | 2                     | 3401         | 0                   | 3401            | 744             | 18             | 0                     |
| 50s          | F      | 2               | High School   | Married  | Unknown         | Blue          | 3 - 4         | 3                        | 3                      | 1                     | 6094         | 0                   | 6094            | 909             | 14             | 0                     |
| 40s          | M      | 2               | High School   | Married  | $120K +         | Blue          | 2 - 3         | 3                        | 3                      | 3                     | 27126        | 0                   | 27126           | 1000            | 25             | 0                     |
| 50s          | F      | 4               | Graduate      | Married  | Unknown         | Blue          | 3 - 4         | 6                        | 2                      | 2                     | 2532         | 2221                | 311             | 799             | 21             | 0,88                  |
| 50s          | M      | 3               | Graduate      | Married  | $120K +         | Blue          | 3 - 4         | 2                        | 3                      | 3                     | 8249         | 1381                | 6868            | 678             | 11             | 0,17                  |
| 50s          | M      | 2               | Unknown       | Married  | $40K - $60K     | Blue          | 3 - 4         | 4                        | 3                      | 2                     | 2902         | 2517                | 385             | 996             | 26             | 0,87                  |
| 50s          | M      | 1               | Uneducated    | Married  | $40K - $60K     | Blue          | 2 - 3         | 2                        | 4                      | 3                     | 1438         | 537                 | 901             | 715             | 13             | 0,37                  |
| 40s          | M      | 4               | Post-Graduate | Unknown  | $80K - $120K    | Blue          | 2 - 3         | 2                        | 5                      | 3                     | 5639         | 1547                | 4092            | 647             | 15             | 0,27                  |
| 50s          | M      | 2               | Uneducated    | Married  | $120K +         | Blue          | 3 - 4         | 3                        | 3                      | 3                     | 3106         | 1120                | 1986            | 683             | 17             | 0,36                  |
| 40s          | M      | 3               | College       | Married  | $60K - $80K     | Blue          | 2 - 3         | 3                        | 3                      | 3                     | 13450        | 0                   | 13450           | 1000            | 18             | 0                     |
| 40s          | F      | 2               | Graduate      | Married  | Less than $40K  | Blue          | 1 - 2         | 3                        | 3                      | 3                     | 1929         | 1673                | 256             | 857             | 36             | 0,87                  |
| 40s          | F      | 3               | Graduate      | Married  | Less than $40K  | Blue          | 3 - 4         | 6                        | 3                      | 2                     | 2185         | 0                   | 2185            | 715             | 20             | 0                     |
| 30s          | M      | 2               | Uneducated    | Single   | $60K - $80K     | Blue          | 2 - 3         | 5                        | 3                      | 3                     | 13961        | 1299                | 12662           | 783             | 20             | 0,09                  |
| 50s          | F      | 4               | Unknown       | Married  | Less than $40K  | Blue          | 3 - 4         | 2                        | 3                      | 3                     | 2536         | 0                   | 2536            | 901             | 35             | 0                     |
| 50s          | F      | 1               | Graduate      | Single   | Less than $40K  | Blue          | 3 - 4         | 1                        | 2                      | 2                     | 2317         | 0                   | 2317            | 884             | 19             | 0                     |
| 50s          | F      | 2               | Uneducated    | Single   | Less than $40K  | Blue          | 3 - 4         | 1                        | 1                      | 1                     | 1981         | 1518                | 463             | 973             | 25             | 0,77                  |
| 50s          | M      | 2               | Graduate      | Married  | $60K - $80K     | Blue          | 3 - 4         | 3                        | 3                      | 2                     | 4320         | 0                   | 4320            | 706             | 21             | 0                     |
| 50s          | M      | 2               | Uneducated    | Married  | $80K - $120K    | Blue          | 2 - 3         | 1                        | 3                      | 3                     | 4503         | 0                   | 4503            | 748             | 20             | 0                     |
| 30s          | M      | 3               | Post-Graduate | Unknown  | $80K - $120K    | Blue          | 2 - 3         | 2                        | 1                      | 3                     | 17030        | 1911                | 15119           | 715             | 25             | 0,11                  |
| 40s          | F      | 2               | Uneducated    | Single   | Less than $40K  | Blue          | 1 - 2         | 2                        | 3                      | 2                     | 2962         | 2517                | 445             | 929             | 31             | 0,85                  |
| 50s          | M      | 2               | College       | Single   | $120K +         | Blue          | 4 - 5         | 2                        | 2                      | 3                     | 16867        | 0                   | 16867           | 654             | 14             | 0                     |
| 50s          | F      | 3               | Post-Graduate | Single   | Less than $40K  | Blue          | 3 - 4         | 3                        | 3                      | 2                     | 2972         | 0                   | 2972            | 922             | 25             | 0                     |
| 40s          | F      | 3               | Uneducated    | Single   | Unknown         | Blue          | 2 - 3         | 3                        | 3                      | 3                     | 4028         | 710                 | 3318            | 791             | 22             | 0,18                  |
| 50s          | M      | 1               | Unknown       | Single   | $120K +         | Blue          | 3 - 4         | 3                        | 2                      | 3                     | 27512        | 2137                | 25375           | 1149            | 25             | 0,08                  |
| 50s          | M      | 1               | College       | Married  | $80K - $120K    | Blue          | 3 - 4         | 3                        | 3                      | 3                     | 12151        | 1799                | 10352           | 918             | 14             | 0,15                  |
| 50s          | F      | 2               | Doctorate     | Married  | Unknown         | Blue          | 3 - 4         | 1                        | 2                      | 3                     | 1438         | 0                   | 1438            | 807             | 22             | 0                     |
| 40s          | M      | 2               | Graduate      | Married  | $60K - $80K     | Blue          | 2 - 3         | 3                        | 5                      | 3                     | 1438         | 0                   | 1438            | 709             | 27             | 0                     |
| 40s          | F      | 2               | Post-Graduate | Married  | Less than $40K  | Blue          | 3 - 4         | 3                        | 3                      | 1                     | 1438         | 0                   | 1438            | 974             | 28             | 0                     |
| 50s          | M      | 1               | High School   | Married  | $60K - $80K     | Blue          | 2 - 3         | 3                        | 2                      | 3                     | 6705         | 0                   | 6705            | 731             | 18             | 0                     |
| 60s          | M      | 0               | High School   | Married  | $60K - $80K     | Blue          | 4 - 5         | 3                        | 3                      | 2                     | 8077         | 0                   | 8077            | 906             | 16             | 0                     |
| 50s          | M      | 2               | College       | Married  | $40K - $60K     | Blue          | 4 - 5         | 2                        | 5                      | 3                     | 6462         | 0                   | 6462            | 761             | 17             | 0                     |
| 40s          | M      | 4               | Unknown       | Single   | $80K - $120K    | Blue          | 2 - 3         | 1                        | 3                      | 1                     | 11862        | 2517                | 9345            | 643             | 16             | 0,21                  |
| 50s          | M      | 1               | College       | Married  | $60K - $80K     | Blue          | 3 - 4         | 5                        | 3                      | 3                     | 1704         | 0                   | 1704            | 660             | 17             | 0                     |
| 50s          | M      | 1               | High School   | Married  | $60K - $80K     | Blue          | 3 - 4         | 2                        | 2                      | 3                     | 1438         | 0                   | 1438            | 888             | 18             | 0                     |
| 60s          | M      | 1               | Unknown       | Married  | $40K - $60K     | Blue          | 4 - 5         | 1                        | 2                      | 2                     | 5472         | 788                 | 4684            | 705             | 14             | 0,14                  |
| 40s          | F      | 4               | Uneducated    | Married  | Less than $40K  | Blue          | 3 - 4         | 3                        | 4                      | 3                     | 4908         | 0                   | 4908            | 827             | 21             | 0                     |
| 40s          | F      | 3               | Doctorate     | Married  | Less than $40K  | Blue          | 3 - 4         | 6                        | 1                      | 3                     | 7222         | 0                   | 7222            | 920             | 18             | 0                     |
| 50s          | M      | 3               | Uneducated    | Married  | $60K - $80K     | Blue          | 3 - 4         | 3                        | 2                      | 2                     | 2323         | 0                   | 2323            | 804             | 15             | 0                     |
| 50s          | F      | 1               | Unknown       | Married  | Less than $40K  | Blue          | 2 - 3         | 4                        | 1                      | 3                     | 1438         | 361                 | 1077            | 850             | 22             | 0,25                  |
| 50s          | F      | 1               | Graduate      | Single   | Less than $40K  | Blue          | 2 - 3         | 2                        | 2                      | 3                     | 1438         | 0                   | 1438            | 799             | 17             | 0                     |
| 40s          | M      | 2               | College       | Married  | $60K - $80K     | Blue          | 2 - 3         | 6                        | 1                      | 3                     | 7340         | 0                   | 7340            | 838             | 24             | 0                     |
| 50s          | M      | 3               | Doctorate     | Single   | $80K - $120K    | Blue          | 2 - 3         | 4                        | 1                      | 3                     | 20865        | 0                   | 20865           | 837             | 25             | 0                     |
| 50s          | M      | 1               | Graduate      | Single   | $80K - $120K    | Blue          | 3 - 4         | 3                        | 3                      | 3                     | 30271        | 1406                | 28865           | 3231            | 47             | 0,05                  |
| 50s          | F      | 2               | Graduate      | Married  | Less than $40K  | Blue          | 3 - 4         | 3                        | 1                      | 3                     | 1438         | 306                 | 1132            | 694             | 15             | 0,21                  |
| 50s          | M      | 4               | High School   | Married  | $80K - $120K    | Blue          | 3 - 4         | 2                        | 2                      | 2                     | 27560        | 900                 | 26660           | 646             | 10             | 0,03                  |
| 40s          | F      | 2               | Unknown       | Married  | Less than $40K  | Blue          | 2 - 3         | 5                        | 1                      | 3                     | 7151         | 800                 | 6351            | 854             | 22             | 0,11                  |
| 60s          | F      | 0               | Graduate      | Married  | Less than $40K  | Blue          | 4 - 5         | 3                        | 3                      | 3                     | 2122         | 554                 | 1568            | 949             | 17             | 0,26                  |
| 40s          | M      | 3               | High School   | Married  | $80K - $120K    | Blue          | 3 - 4         | 1                        | 1                      | 3                     | 9959         | 0                   | 9959            | 805             | 24             | 0                     |
| 50s          | M      | 4               | High School   | Married  | $60K - $80K     | Blue          | 3 - 4         | 3                        | 3                      | 3                     | 2340         | 1930                | 410             | 781             | 15             | 0,82                  |
| 60s          | F      | 2               | Graduate      | Married  | Less than $40K  | Blue          | 4 - 5         | 4                        | 2                      | 2                     | 2490         | 513                 | 1977            | 864             | 20             | 0,21                  |
| 40s          | M      | 3               | Unknown       | Married  | $40K - $60K     | Blue          | 2 - 3         | 2                        | 2                      | 3                     | 1438         | 0                   | 1438            | 891             | 28             | 0                     |
| 50s          | M      | 3               | Unknown       | Married  | $60K - $80K     | Blue          | 3 - 4         | 5                        | 3                      | 2                     | 12248        | 0                   | 12248           | 767             | 25             | 0                     |
| 50s          | F      | 1               | Unknown       | Married  | Unknown         | Blue          | 4 - 5         | 3                        | 2                      | 3                     | 1438         | 0                   | 1438            | 724             | 16             | 0                     |
| 40s          | F      | 4               | College       | Married  | Less than $40K  | Blue          | 1 - 2         | 6                        | 2                      | 3                     | 7706         | 392                 | 7314            | 965             | 27             | 0,05                  |
| 50s          | M      | 2               | Graduate      | Married  | $40K - $60K     | Blue          | 3 - 4         | 2                        | 3                      | 3                     | 4085         | 2238                | 1847            | 596             | 15             | 0,55                  |
| 40s          | M      | 2               | Uneducated    | Married  | $60K - $80K     | Blue          | 1 - 2         | 2                        | 3                      | 3                     | 14447        | 0                   | 14447           | 915             | 29             | 0                     |
| 50s          | F      | 3               | Uneducated    | Single   | Less than $40K  | Blue          | 2 - 3         | 6                        | 3                      | 1                     | 9786         | 0                   | 9786            | 820             | 25             | 0                     |
| 60s          | F      | 1               | High School   | Married  | Unknown         | Blue          | 4 - 5         | 2                        | 1                      | 2                     | 8990         | 0                   | 8990            | 747             | 19             | 0                     |
| 40s          | M      | 3               | Doctorate     | Single   | $60K - $80K     | Blue          | 2 - 3         | 3                        | 3                      | 2                     | 3312         | 0                   | 3312            | 647             | 19             | 0                     |
| 50s          | M      | 1               | Graduate      | Single   | $80K - $120K    | Blue          | 2 - 3         | 2                        | 3                      | 2                     | 10244        | 861                 | 9383            | 1127            | 29             | 0,08                  |
| 50s          | M      | 2               | High School   | Married  | $120K +         | Blue          | 3 - 4         | 4                        | 3                      | 1                     | 7474         | 0                   | 7474            | 732             | 21             | 0                     |
| 50s          | M      | 3               | High School   | Married  | $80K - $120K    | Blue          | 2 - 3         | 2                        | 3                      | 4                     | 9457         | 350                 | 9107            | 1196            | 28             | 0,04                  |
| 40s          | F      | 3               | Graduate      | Single   | Less than $40K  | Blue          | 2 - 3         | 2                        | 2                      | 3                     | 8551         | 1067                | 7484            | 1097            | 32             | 0,13                  |
| 50s          | M      | 5               | High School   | Married  | $60K - $80K     | Blue          | 2 - 3         | 5                        | 2                      | 3                     | 14539        | 0                   | 14539           | 965             | 26             | 0                     |
| 40s          | M      | 2               | Uneducated    | Married  | $80K - $120K    | Blue          | 2 - 3         | 5                        | 3                      | 3                     | 8004         | 1452                | 6552            | 1084            | 32             | 0,18                  |
| 50s          | F      | 2               | High School   | Married  | $40K - $60K     | Blue          | 3 - 4         | 2                        | 1                      | 3                     | 1438         | 0                   | 1438            | 1254            | 35             | 0                     |
| 50s          | M      | 0               | College       | Married  | $80K - $120K    | Blue          | 4 - 5         | 3                        | 2                      | 3                     | 14501        | 0                   | 14501           | 1031            | 25             | 0                     |
| 40s          | M      | 3               | High School   | Married  | $60K - $80K     | Blue          | 2 - 3         | 1                        | 3                      | 3                     | 8663         | 288                 | 8375            | 916             | 33             | 0,03                  |
| 50s          | M      | 3               | High School   | Single   | $60K - $80K     | Blue          | 3 - 4         | 2                        | 1                      | 3                     | 8512         | 0                   | 8512            | 811             | 27             | 0                     |
| 50s          | M      | 2               | Uneducated    | Single   | $120K +         | Blue          | 3 - 4         | 3                        | 3                      | 1                     | 16868        | 0                   | 16868           | 940             | 25             | 0                     |
| 60s          | M      | 1               | High School   | Married  | Less than $40K  | Blue          | 3 - 4         | 3                        | 2                      | 1                     | 1759         | 0                   | 1759            | 821             | 18             | 0                     |
| 50s          | M      | 1               | Graduate      | Married  | $80K - $120K    | Blue          | 2 - 3         | 3                        | 3                      | 3                     | 4829         | 2418                | 2411            | 938             | 21             | 0,5                   |
| 40s          | M      | 2               | Uneducated    | Single   | $60K - $80K     | Blue          | 2 - 3         | 2                        | 2                      | 3                     | 6414         | 0                   | 6414            | 708             | 14             | 0                     |
| 40s          | F      | 4               | High School   | Single   | Less than $40K  | Blue          | 2 - 3         | 6                        | 2                      | 3                     | 4203         | 2517                | 1686            | 1489            | 43             | 0,6                   |
| 40s          | M      | 5               | High School   | Unknown  | $60K - $80K     | Blue          | 3 - 4         | 3                        | 3                      | 1                     | 1438         | 0                   | 1438            | 2132            | 31             | 0                     |
| 30s          | F      | 3               | Unknown       | Single   | Less than $40K  | Blue          | 2 - 3         | 6                        | 2                      | 2                     | 3730         | 2517                | 1213            | 858             | 22             | 0,68                  |
| 50s          | F      | 2               | Doctorate     | Married  | Less than $40K  | Blue          | 3 - 4         | 2                        | 2                      | 3                     | 6630         | 916                 | 5714            | 842             | 24             | 0,14                  |
| 40s          | M      | 3               | Graduate      | Divorced | $80K - $120K    | Blue          | 1 - 2         | 2                        | 2                      | 3                     | 1925         | 0                   | 1925            | 781             | 28             | 0                     |
| 40s          | M      | 3               | Graduate      | Married  | $80K - $120K    | Blue          | 2 - 3         | 1                        | 1                      | 3                     | 34516        | 781                 | 33735           | 853             | 12             | 0,02                  |
| 50s          | F      | 3               | High School   | Married  | $40K - $60K     | Blue          | 4 - 5         | 5                        | 2                      | 1                     | 1438         | 0                   | 1438            | 594             | 14             | 0                     |
| 60s          | F      | 0               | Graduate      | Married  | Less than $40K  | Blue          | 4 - 5         | 6                        | 2                      | 3                     | 1438         | 0                   | 1438            | 840             | 20             | 0                     |
| 40s          | F      | 2               | Unknown       | Single   | Unknown         | Blue          | 2 - 3         | 2                        | 1                      | 3                     | 4411         | 2517                | 1894            | 803             | 15             | 0,57                  |
| 30s          | M      | 2               | Graduate      | Married  | $80K - $120K    | Blue          | 2 - 3         | 3                        | 2                      | 3                     | 12643        | 0                   | 12643           | 787             | 21             | 0                     |
| 30s          | M      | 3               | Post-Graduate | Married  | $120K +         | Blue          | 2 - 3         | 2                        | 1                      | 2                     | 13873        | 0                   | 13873           | 694             | 18             | 0                     |
| 50s          | F      | 4               | High School   | Divorced | Unknown         | Blue          | 3 - 4         | 4                        | 1                      | 1                     | 21065        | 2517                | 18548           | 1060            | 32             | 0,12                  |
| 30s          | F      | 2               | High School   | Married  | $40K - $60K     | Blue          | 2 - 3         | 3                        | 2                      | 2                     | 7225         | 0                   | 7225            | 738             | 16             | 0                     |
| 30s          | M      | 3               | College       | Married  | $80K - $120K    | Blue          | 2 - 3         | 3                        | 2                      | 3                     | 3575         | 1884                | 1691            | 861             | 15             | 0,53                  |
| 30s          | M      | 2               | Graduate      | Married  | $40K - $60K     | Blue          | 1 - 2         | 3                        | 1                      | 3                     | 7758         | 1408                | 6350            | 569             | 23             | 0,18                  |
| 50s          | F      | 2               | Graduate      | Single   | Less than $40K  | Blue          | 3 - 4         | 6                        | 3                      | 2                     | 3181         | 2517                | 664             | 818             | 16             | 0,79                  |
| 60s          | F      | 1               | High School   | Married  | $40K - $60K     | Blue          | 4 - 5         | 2                        | 1                      | 1                     | 5249         | 0                   | 5249            | 1315            | 31             | 0                     |
| 40s          | M      | 2               | College       | Married  | $80K - $120K    | Blue          | 3 - 4         | 2                        | 2                      | 3                     | 2111         | 0                   | 2111            | 773             | 17             | 0                     |
| 50s          | M      | 3               | Unknown       | Single   | $60K - $80K     | Blue          | 2 - 3         | 3                        | 2                      | 2                     | 8411         | 979                 | 7432            | 990             | 22             | 0,12                  |
| 30s          | F      | 3               | High School   | Single   | Less than $40K  | Blue          | 2 - 3         | 6                        | 1                      | 3                     | 3651         | 0                   | 3651            | 862             | 19             | 0                     |
| 50s          | F      | 3               | Uneducated    | Married  | Unknown         | Blue          | 2 - 3         | 3                        | 3                      | 2                     | 3664         | 0                   | 3664            | 1168            | 31             | 0                     |
| 50s          | M      | 1               | Graduate      | Married  | $80K - $120K    | Blue          | 3 - 4         | 2                        | 1                      | 2                     | 6214         | 1147                | 5067            | 938             | 35             | 0,18                  |
| 50s          | M      | 3               | College       | Single   | $120K +         | Blue          | 4 - 5         | 3                        | 2                      | 3                     | 34516        | 0                   | 34516           | 2115            | 24             | 0                     |
| 40s          | F      | 2               | Graduate      | Single   | Less than $40K  | Blue          | 2 - 3         | 5                        | 1                      | 2                     | 5456         | 951                 | 4505            | 1096            | 27             | 0,17                  |
